1 1.8591409142295225e+00 1.8591409142295225e+00 1.4085908577047745e-01 
2 1.7539310924648253e+00 1.0520982176469729e-01 3.5649264005780168e-02 
3 1.7341624601234291e+00 1.9768632341396142e-02 1.5880631664384026e-02 
4 1.7272219045575166e+00 6.9405555659125540e-03 8.9400760984714722e-03 
5 1.7240056197827880e+00 3.2162847747285728e-03 5.7237913237428995e-03 
6 1.7222574924714809e+00 1.7481273113071349e-03 3.9756640124357645e-03 
7 1.7212030829874494e+00 1.0544094840314600e-03 2.9212545284043046e-03 
8 1.7205185921643018e+00 6.8449082314758769e-04 2.2367637052567169e-03 
9 1.7200492444841693e+00 4.6934768013251471e-04 1.7674160251242022e-03 
10 1.7197134913893146e+00 3.3575309485467386e-04 1.4316629302695283e-03 
11 1.7194650551788000e+00 2.4843621051462428e-04 1.1832267197549040e-03 
12 1.7192760894463857e+00 1.8896573241433678e-04 9.9426098734056723e-04 
13 1.7191290239208443e+00 1.4706552554133445e-04 8.4719546179923277e-04 
14 1.7190123283458676e+00 1.1669557497673289e-04 7.3049988682249989e-04 
15 1.7189181820004495e+00 9.4146345418044675e-05 6.3635354140445521e-04 
16 1.7188411285799945e+00 7.7053420455053256e-05 5.5930012094940196e-04 
17 1.7187772675429818e+00 6.3861037012724609e-05 4.9543908393667735e-04 
18 1.7187237506416511e+00 5.3516901330707967e-05 4.4192218260596938e-04 
19 1.7186784587692863e+00 4.5291872364794372e-05 3.9663031024117501e-04 
20 1.7186397889252214e+00 3.8669844064864733e-05 3.5796046617631028e-04 
21 1.7186065104116377e+00 3.3278513583701042e-05 3.2468195259260924e-04 
22 1.7185776656942180e+00 2.8844717419707067e-05 2.9583723517290217e-04 
23 1.7185525007487004e+00 2.5164945517630599e-05 2.7067228965527157e-04 
24 1.7185304152807623e+00 2.2085467938026682e-05 2.4858682171724489e-04 
25 1.7185109265936260e+00 1.9488687136304250e-05 2.2909813458094064e-04 
26 1.7184936429888777e+00 1.7283604748286052e-05 2.1181452983265459e-04 
27 1.7184782439306669e+00 1.5399058210796568e-05 1.9641547162185802e-04 
28 1.7184644650769729e+00 1.3778853694024207e-05 1.8263661792783381e-04 
29 1.7184520868594675e+00 1.2378217505437661e-05 1.7025840042239615e-04 
30 1.7184409256821256e+00 1.1161177341900697e-05 1.5909722308049545e-04 
31 1.7184308270741127e+00 1.0098608012931720e-05 1.4899861506756373e-04 
32 1.7184216603163271e+00 9.1667577855059079e-06 1.3983185728205783e-04 
33 1.7184133141899516e+00 8.3461263755690851e-06 1.3148573090648874e-04 
34 1.7184056935870433e+00 7.6206029082648286e-06 1.2386512799822391e-04 
35 1.7183987167890402e+00 6.9767980030999155e-06 1.1688832999512400e-04 
36 1.7183923132668908e+00 6.4035221494229688e-06 1.1048480784570103e-04 
37 1.7183864218915923e+00 5.8913752984945944e-06 1.0459343254720643e-04 
38 1.7183809894699149e+00 5.4324216773871115e-06 9.9161010869819322e-05 
39 1.7183759695394929e+00 5.0199304220122087e-06 9.4141080447807113e-05 
40 1.7183713213720644e+00 4.6481674285114849e-06 8.9492913019295628e-05 
41 1.7183670091447683e+00 4.3122272961326757e-06 8.5180685723162952e-05 
42 1.7183630012478757e+00 4.0078968925882918e-06 8.1172788830574660e-05 
43 1.7183592697038745e+00 3.7315440011287393e-06 7.7441244829445921e-05 
44 1.7183557896778929e+00 3.4800259816059054e-06 7.3961218847840016e-05 
45 1.7183525390634233e+00 3.2506144695965133e-06 7.0710604378243502e-05 
46 1.7183494981303817e+00 3.0409330415981373e-06 6.7669671336645365e-05 
47 1.7183466492250161e+00 2.8489053656155505e-06 6.4820765971029815e-05 
48 1.7183439765131139e+00 2.6727119022407209e-06 6.2148054068789094e-05 
49 1.7183414657595113e+00 2.5107536025803512e-06 5.9637300466208742e-05 
50 1.7183391041381575e+00 2.3616213538080189e-06 5.7275679112400724e-05 
51 1.7183368800679835e+00 2.2240701740283697e-06 5.5051608938372354e-05 
52 1.7183347830706566e+00 2.0969973268947228e-06 5.2954611611477631e-05 
53 1.7183328036469363e+00 1.9794237202663822e-06 5.0975187891211249e-05 
54 1.7183309331689085e+00 1.8704780277989386e-06 4.9104709863412310e-05 
55 1.7183291637858058e+00 1.7693831027010276e-06 4.7335326760711283e-05 
56 1.7183274883414987e+00 1.6754443070698954e-06 4.5659882453641387e-05 
57 1.7183259003020250e+00 1.5880394736988990e-06 4.4071842979942488e-05 
58 1.7183243936917905e+00 1.5066102345695498e-06 4.2565232745372938e-05 
59 1.7183229630372692e+00 1.4306545212949828e-06 4.1134578224077956e-05 
60 1.7183216033172286e+00 1.3597200405612853e-06 3.9774858183516670e-05 
61 1.7183203099186035e+00 1.2933986250907026e-06 3.8481459558425968e-05 
62 1.7183190785973226e+00 1.2313212809367258e-06 3.7250138277489242e-05 
63 1.7183179054434465e+00 1.1731538760439975e-06 3.6076984401445245e-05 
64 1.7183167868500941e+00 1.1185933523893965e-06 3.4958391049055848e-05 
65 1.7183157194856784e+00 1.0673644157410678e-06 3.3891026633314780e-05 
66 1.7183147002690800e+00 1.0192165984523882e-06 3.2871810034862392e-05 
